date,Total Sultanate,Muscat,Dhofar,Musandam,Al - Buraymi,Al - Dakhliyah,Al - Batinah North,Al - Batinah South,Al - Sharqiyah South,Al - Sharqiyah North,Al - Dhahira,Al - Wusta
2013-01-01,3795468,1135993,360178,35983,93994,379339,622308,335562,252808,229103,175539,39267
2013-02-01,3831553,1150235,364155,36403,95016,381936,628420,338314,254663,230989,176762,39775
2013-03-01,3850709,1156849,366557,36681,95583,383569,632541,340069,255871,232063,177493,39868
2013-04-01,3869873,1161577,368528,36896,96035,385129,635924,341630,256814,232750,178003,40078
2013-05-01,3876283,1162966,369770,37092,96343,386332,637527,342929,257747,233512,178552,40180
2013-06-01,3855206,1155861,369625,37259,96613,387111,638574,343707,258275,233938,178841,40151
2013-07-01,3853871,1155645,370240,37521,96771,388147,639619,344801,259344,234683,179183,40212
2013-08-01,3896627,1170153,371732,37736,97073,389589,642357,346151,260341,235542,179744,40257
2013-09-01,3928666,1178322,374051,38161,97643,391502,645000,347921,261975,236930,180583,40516
2013-10-01,3940584,1183384,375026,38530,97722,393011,646842,349462,262946,237901,181319,40776
2013-11-01,3949065,1186243,375785,38763,97859,394147,647965,350487,263486,238467,181793,40775
2013-12-01,3957040,1191308,377044,39103,98239,396087,649801,352358,264565,239622,182575,40963
2014-01-01,3981314,1199341,377891,39334,98627,397668,651045,353922,265454,240542,183283,41079
2014-02-01,3991956,1204335,378538,39575,99101,398965,652423,355237,265909,240976,183866,41104
2014-03-01,3999903,1208114,378515,39690,99261,399929,653188,356531,266232,241212,184195,41079
2014-04-01,4017806,1215736,379242,39764,99620,401855,655206,358555,267051,241801,184939,41131
2014-05-01,4017806,1215736,379242,39764,99620,401855,655206,358555,267051,241801,184939,41131
2014-06-01,3992709,1210347,377541,39808,99818,402969,655792,360483,267285,242101,185568,40928
2014-07-01,3988421,1206739,377376,39881,99816,403426,656332,361111,267667,242309,185795,40913
2014-08-01,4035972,1227397,378973,39983,100108,405126,659383,363081,268405,243164,186423,40991
2014-09-01,4064660,1236511,380606,40202,100642,406764,662033,364858,269405,244277,187204,41215
2014-10-01,4075065,1240853,381016,40265,100695,407686,663582,365970,269872,244762,187678,41195
2014-11-01,4088201,1245183,381409,40345,100814,408618,665539,367065,270438,245283,188199,41201
2014-12-01,4091962,1250629,382357,40460,101148,410141,668420,368467,271070,246066,188955,41228
2015-01-01,4118028,1259222,383095,40536,101420,411345,670715,369757,271753,246631,189457,41260
2015-02-01,4137233,1266157,384126,40679,101760,412621,673154,371342,272834,247402,190051,41360
2015-03-01,4155125,1274159,385031,40769,102133,414160,676459,373060,274090,248335,190789,41409
2015-04-01,4177610,1283743,386392,40889,102698,415531,679846,374491,275020,249287,191374,41446
2015-05-01,4185914,1288330,386870,40849,102911,416332,681333,375484,275524,249716,191742,41310
2015-06-01,4159134,1281153,386017,40852,102953,416843,681616,376225,275901,249634,191860,41060
2015-07-01,4170556,1285672,387471,41048,102867,417622,683475,560148,276549,249822,192288,41054
2015-08-01,4224228,1310826,390357,41265,103251,419444,687750,379492,277940,250730,192965,41261
2015-09-01,4254416,1320464,392517,41531,103593,421303,690780,381012,279076,251729,193687,41439
2015-10-01,4278931,1332398,394975,41703,103883,422988,693570,382594,280480,252636,194400,41553
2015-11-01,4301825,1342723,398920,41967,104832,425314,697774,384561,282409,253890,195647,41962
2015-12-01,4316539,1349865,402202,42192,105329,427330,701498,386674,284686,255213,196729,42243
2016-01-01,4351934,1362722,405571,42383,105580,428754,704814,388699,286389,256396,197641,42474
2016-02-01,4379105,1374306,409658,42540,106078,430908,708834,390731,288143,257899,198875,42659
2016-03-01,4397790,1382035,413437,42701,106590,432753,712563,392868,290103,259406,199839,42871
2016-04-01,4428946,1390929,417071,42753,107114,434657,715625,394689,291768,260858,200775,43119
2016-05-01,4441448,1395412,420836,42854,107484,436458,719309,396442,293616,262437,201843,43350
2016-06-01,4413309,1380363,421581,42786,107426,437111,720702,397407,294662,263449,202616,43304
2016-07-01,4432380,1385493,424877,42865,107501,438460,723050,398456,295603,264451,203238,43385
2016-08-01,4490943,1407621,431535,43121,108394,441943,729549,401425,298023,266951,204606,43795
2016-09-01,4513023,1412798,435120,43273,108809,443803,732239,402886,299171,268416,205416,44008
2016-10-01,4536008,1418499,438784,43436,109280,446211,735771,404904,301257,270315,206464,44256
2016-11-01,4550538,1474347,454714,44421,113087,454806,752857,413474,308807,277441,211010,45574
2016-12-01,4549655,1467475,455545,44445,113123,456347,752606,414824,309386,278481,211793,45630
2017-01-01,4572949,1475716,458734,44516,113249,458189,755434,416795,311038,280455,212862,45961
2017-02-01,4586941,1481084,459366,44485,113946,459991,757563,418288,311884,280872,213635,45827
2017-03-01,4594638,1480786,460053,44502,114228,461623,759235,419604,312715,281686,214228,45978
2017-04-01,4614376,1488733,461439,44549,114875,463393,762328,421131,314023,282603,215126,46176
2017-05-01,4614822,1483862,461361,44481,114995,464379,764329,421769,314731,282882,215744,46289
2017-06-01,4558847,1446061,456093,44191,113709,462299,760175,419820,313398,281864,215127,46110
2017-07-01,4578288,1458862,456849,44074,113970,463331,763088,420799,313970,281535,215541,46269
2017-08-01,4614713,1474948,460050,44332,114794,466969,767505,423574,315537,283095,217153,46756
2017-09-01,4634812,1487565,461718,44354,114957,468089,769664,424443,316131,283098,217698,47095
2017-10-01,4641466,1488030,461961,44394,114959,469466,771323,425418,316613,283571,218322,47409
2017-11-01,4642521,1483642,461554,44520,115097,470479,773367,426168,316910,284059,219037,47688
2017-12-01,4638908,1477818,460456,44528,114895,471465,774603,426497,316909,284354,219548,47835
2018-01-01,4653826,1494157,461856,44982,114773,471807,772413,426036,317715,283379,219144,47564
2018-02-01,4660153,1495708,461855,45035,115002,472839,773831,426813,318044,283531,219751,47744
2018-03-01,4658595,1491828,461200,45109,114972,473678,774530,427195,318387,283572,220257,47867
2018-04-01,4670899,1497577,460975,45161,115300,474828,777372,428215,318859,283720,220883,48009
2018-05-01,4657961,1489366,458346,44946,114936,474824,776862,428193,318411,283061,221029,47987
2018-06-01,4592759,1447077,451123,44601,113711,472702,771522,426129,316804,281264,220093,47733
2018-07-01,4601726,1451934,451185,44634,113691,473384,773518,426896,317065,281302,220323,47794
2018-08-01,4633752,1468671,453242,44870,114110,476320,777224,429209,318465,282526,221109,48006
2018-09-01,4651894,1475467,454760,45037,114554,478386,780353,430585,319477,283175,221716,48384
2018-10-01,4656006,1475575,453922,45113,114565,479748,781593,431555,320106,283325,222003,48501
2018-11-01,4656009,1474442,453286,45125,114406,480429,782417,432054,320250,282929,222089,48582
2018-12-01,4647110,1466757,452850,45070,114296,480933,781970,432206,319800,282499,222154,48575
2019-01-01,4660593,1475046,453255,45155,114415,481896,783064,433221,320516,282719,222517,48789
2019-02-01,4669073,1478676,454032,45200,114425,482818,784477,434091,320906,282792,222699,48957
2019-03-01,4684652,1480828,455940,45650,116161,484691,787296,435618,321733,283416,224095,49224
2019-04-01,4690187,1464647,458032,45820,116554,488197,790569,440277,323955,287167,225029,49940
2019-05-01,4667289,1445646,456923,45683,116276,488309,788905,440472,323416,286879,224864,49916
2019-06-01,4618268,1415897,451458,45360,115238,486348,784729,438693,321799,285129,224019,49598
2019-07-01,4630382,1424361,452459,45278,115103,486963,786737,439179,321888,284724,223885,49805
2019-08-01,4661144,1444317,457764,45605,115128,488416,787413,440591,322475,285353,224136,49946
2019-09-01,4674793,1452742,458771,45774,115462,489405,789062,441074,322816,285270,224161,50256
2019-10-01,4676699,1452979,458364,45914,115361,489961,790078,441478,322892,285031,224175,50466
2019-11-01,4673024,1450769,457652,45932,115341,490368,788995,441522,322738,284745,224189,50773
2019-12-01,4664844,1443926,456399,45935,115236,490900,788654,441569,322242,284333,224225,51425
2020-01-01,4640927,1439161,451757,45678,114235,488912,784191,439767,320603,282523,222670,51430
2020-02-01,4647402,1441862,451908,45747,114449,489820,785627,440041,320667,282508,222809,51964
2020-03-01,4645249,1441736,450723,45733,114283,490001,785744,440003,320483,281807,222670,52066
2020-04-01,4631871,1436357,448731,45656,113853,489337,783936,439292,319709,280959,222243,51798
2020-05-01,4610798,1427295,445829,45505,113170,488280,781277,438104,318487,279768,221624,51459
2020-06-01,4578016,1409756,442082,45303,112357,486950,777773,436588,317078,278296,220842,50991
2020-07-01,4527934,1380509,437381,45084,111142,485343,772204,434651,315184,276387,219770,50279
2020-08-01,4480333,1354757,432145,44722,109968,483255,767213,432713,313006,274283,218746,49525
2020-09-01,4445262,1331289,429928,44537,109294,482165,764014,431658,311944,273088,218092,49253
2020-10-01,4433684,1333148,426616,44119,108435,480992,760735,430372,310882,271974,217502,48909
2020-11-01,4473723,1355660,431807,44297,108185,483079,765121,432746,312483,273169,217812,49364
2020-12-01,4481042,1306055,417520,49135,122042,479355,786154,466424,316136,272365,213405,52451
