Governorate,Province,2012,2013,2014,2015,2016,2017,2018,2019,2020
Muscat,Muscat,124983,130263,140914,167440,246996,290873,76843,76344,31409
Muscat,Mutrah,207269,216578,224298,233515,249363,237731,282116,269507,231614
Muscat,Al - Amrat,60271,64039,67483,70183,74963,75943,90495,91104,121344
Muscat,Bawshar,343602,365284,378332,395725,424060,394631,477121,457361,383257
Muscat,Al - Seeb,310673,330981,348965,362102,391315,404279,465607,463960,479893
Muscat,Qurayyat,46562,48716,50488,52267,54925,55792,62336,63133,58538
Dhofar,Salalah,278552,299153,304641,310941,355660,374582,368159,363427,332768
Dhofar,Taqah,17293,18178,18930,19623,20345,20876,21411,22279,21534
Dhofar,Mirbat,14034,14778,15252,15586,16028,16307,16940,17599,16421
Dhofar,Rakhyut,4208,4360,4523,4672,4874,5049,5181,5326,5001
Dhofar,Thumrayt,11936,12395,12583,12939,14968,16966,17027,17336,17177
Dhofar,Dalkut,2600,2693,2796,2900,2925,2988,3115,3201,3191
Dhofar,Al - Mazyunah,7678,7960,8296,8620,8910,9261,9575,9852,8415
Dhofar,Muqshin,711,740,766,791,832,857,921,970,628
Dhofar,Shalim Wa Juzor Al - Hallaniyat,4042,4196,4349,4434,4640,4792,4924,5890,6352
Dhofar,Sadah,4992,5172,5370,5570,5770,5944,6130,6314,6033
Musanam,Khasab,21602,23211,24402,25274,27211,27606,27630,28034,29730
Musanam,Daba,7252,8080,8749,9048,9848,9856,9873,9872,10441
Musanam,Bukha,2849,3387,3908,3592,3748,3794,3879,3859,4479
Musanam,Madha,2445,2581,2754,2937,3152,3315,3475,3636,4485
Al - Buraymi,Al - Buraymi,82889,89848,92944,95874,104073,106786,107679,107411,110402
Al - Buraymi,Mahadah,6197,6267,6348,6492,6609,6779,7038,7408,10166
Al - Buraymi,Al - Sunaynah,478,498,544,595,712,769,825,839,1474
Al - Dakhiliyah,Nizwa,96128,101451,105859,110256,118573,123396,127180,131108,132013
Al - Dakhiliyah,Bahla,68582,71971,74909,77276,82256,87269,89843,91785,88459
Al - Dakhiliyah,Manah,18632,19635,20288,20652,21354,22077,22319,22966,25368
Al - Dakhiliyah,Al - Hamra,21853,22937,24042,24991,25776,26236,26719,27427,28274
Al - Dakhiliyah,Adam,21960,23070,23879,24668,26210,27709,28682,29039,28215
Al - Dakhiliyah,Izki,48893,51396,53371,54751,57125,59386,60522,62089,58993
Al - Dakhiliyah,Samail,63505,66863,69606,72173,78440,80471,81960,84065,80538
Al - Dakhiliyah,Bidbid,28474,29788,31058,32091,33647,34655,35286,36844,37495
Al - Batinah North,Sohar,181867,196340,197517,208429,226321,231102,237632,239765,233349
Al - Batinah North,Shinas,59973,62995,65265,67610,71668,74874,76572,77861,82891
Al - Batinah North,Liwa,36680,39232,40896,41981,45187,47926,49869,51083,55796
Al - Batinah North,Saham,122607,130663,133971,136230,140844,147775,150416,151979,150329
Al - Batinah North,Al - Khaburah,60232,63415,65880,68371,71340,73303,74604,77337,78892
Al - Batinah South,Al - Suwayq,136847,145929,152344,159052,171788,179189,181448,184482,184897
Al - Batinah South,Al - Rustaq,95435,101450,105507,110090,117599,121587,122985,124858,118100
Al - Batinah South,Al - Awabi,13363,14128,14702,15254,16075,16703,17032,17453,18833
Al - Batinah South,Nakhal,21497,22576,23681,24458,25357,26033,26524,27240,28088
Al - Batinah South,Wadi al - Maawil,14672,15364,16043,16490,16949,17301,17720,18300,20206
Al - Batinah South,Barka,103629,111388,118668,125302,136968,146596,151158,157273,181993
Al - Batinah South,Al - Musanaah,74528,78801,81920,84648,88019,89627,90288,92694,99204
Al - Sharqiyah South,Sur,90306,96080,99307,102352,116110,121088,121061,120876,111231
Al - Sharqiyah South,Al - Kamil Wa Al - Wafi,28037,29918,31469,32378,33534,33341,33158,35735,38543
Al - Sharqiyah South,Jaalan Bani Bu Hasan,36403,38474,39856,41422,42357,42168,42250,43324,44593
Al - Sharqiyah South,Jaalan Bani Bu Ali,76444,80978,84022,86887,93000,100506,103599,104829,107867
Al - Sharqiyah South,Masirah,12344,12825,12668,12881,14042,15719,16164,16022,13902
Al - Sharqiyah North,Ibra,42330,45492,47195,49608,54149,57561,57063,55589,50290
Al - Sharqiyah North,Al - Mudaybi,91254,97898,102540,105538,112101,117691,118164,119731,115040
Al - Sharqiyah North,Bidiyah,32921,34375,34785,35642,38175,40812,40855,42443,42603
Al - Sharqiyah North,Al - Qabil,21114,21674,22036,22311,23047,23824,24133,24937,24878
Al - Sharqiyah North,Wadi Bani Khalid,10517,10917,11315,11645,12153,12518,12763,13147,13024
Al - Sharqiyah North,Dima wa al - Taiyyin,22525,23582,24260,24911,25885,26817,27456,28217,26530
Al - Dhahira,Ibri,131601,138234,143593,148568,158065,165354,171555,173337,163473
Al - Dhahira,Yanqul,20149,21065,21818,22562,24639,26044,26251,26880,26466
Al - Dhahira,Dank,18834,19542,20185,20741,21694,22373,22571,23171,23466
Al - Wusta,Hayma,7136,8059,8603,9115,10278,10481,10251,10249,10102
Al - Wusta,Mahawt,15068,16631,17333,17208,17216,17186,17096,17308,17442
Al - Wusta,Ad Duqm,8146,8894,8559,8401,9449,11269,14256,16010,19249
Al - Wusta,Al - Jazir,6041,6567,6441,6345,6367,6220,6001,5812,5658
